"jpg_name","webp_name","theme","jpg_kb","webp_kb"
"pdf-open-alert-phone-blue.jpg","pdf-open-alert-phone-blue.webp","PDF opened alert + phone blue","149.1","62.8"
"pdf-read-notify-infographic.jpg","pdf-read-notify-infographic.webp","PDF read notify infographic","203.9","100.4"
"telegram-pdf-open-alert-clean.jpg","telegram-pdf-open-alert-clean.webp","Telegram alert clean hero","144","64.5"
"telegram-alert-phone-closeup-portrait.jpg","telegram-alert-phone-closeup-portrait.webp","Telegram alert phone closeup portrait","165.8","94.4"
"telegram-read-notify-desk-hero.jpg","telegram-read-notify-desk-hero.webp","Telegram read notify desk hero","154.3","64.9"
"pdf-open-alert-dark-desk-hero.jpg","pdf-open-alert-dark-desk-hero.webp","PDF open alert dark desk","191.3","85"
"telegram-read-notify-light-desk-v1.jpg","telegram-read-notify-light-desk-v1.webp","Telegram read notify light desk v1","142.6","59.4"
"telegram-read-notify-light-desk-v2.jpg","telegram-read-notify-light-desk-v2.webp","Telegram read notify light desk v2","153.1","64.4"
"telegram-pdf-open-alert-light-desk.jpg","telegram-pdf-open-alert-light-desk.webp","Telegram PDF opened light desk","153.5","72.2"
"pdf-share-link-social-media-hero.jpg","pdf-share-link-social-media-hero.webp","Share link social media hero","141.3","60.6"
"pdf-link-and-qr-generator-hero.jpg","pdf-link-and-qr-generator-hero.webp","Link and QR generator hero","142.4","61.6"
"telegram-pdf-open-alert-light-desk-v2.jpg","telegram-pdf-open-alert-light-desk-v2.webp","Telegram PDF opened light desk v2","153.5","72.2"
